DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024030 GARDENING,02403031 HIGH PRESSURE,0240303101 HIGH PRESSURE,ZINSANOเครื่องฉีดน้ำ100 บาร์
05 FRESH FOOD,0560 PERISHABLE,0560 PERISHABLE,056030 CHILLED,05603002 FOOD,0560300201 TOFU,เต้าหู้ไข่ไก่ตราCP120กรัม
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401002 HERBAL REMEDIES,0640100204 LC ANTIPRURITICS,P_APH หญ้าปักกิ่ง 70 แคปซูล
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062050 GASTROINTESTINALS SYSTEM,06205008 OTHER,0620500803 LC ANTIHEMOROID,P_APHเพชรสังฆาด 70 แคปซูล
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401006 TOPICAL ANALGESICS,0640100601 LC ANTI INFLAMMATORY,P_APH แคปซูลบัวบก
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401002 HERBAL REMEDIES,0640100203 LC ANTIFLATULENTS & DIABETIC,P_APH บอระเพ็ด 70 แคปซูล
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401006 TOPICAL ANALGESICS,0640100601 LC ANTI INFLAMMATORY,P_APH เถาวัลย์เปรียง 70 แคปซูล
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401002 HERBAL REMEDIES,0640100203 LC ANTIFLATULENTS & DIABETIC,P_APHยอแคปซูล 70 แคปซูล
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401002 HERBAL REMEDIES,0640100208 LC CARDIOTONIC & ANTIFLAMMATORY,P_APHชาชงหญ้าหนวดแมว 10ซอง
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401002 HERBAL REMEDIES,0640100203 LC ANTIFLATULENTS & DIABETIC,P_APH มะระขี้นก 70 แคปซูล
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401002 HERBAL REMEDIES,0640100201 LC ANTIFLATULENTS,P_APHแคปซูลขิง 70แคป 500มก
06 PHARMACY,0640 HERBAL PREPARATION,0640 HERBAL PREPARATION,064010 COMPLIMENTARY MEDICINES,06401006 TOPICAL ANALGESICS,0640100603 NL ANTI INFLAMMATORY,P_APH ยาหม่องพญายอ 10 กรัม
